Company,Sector,State,City,Roles,LinkedIn,Website
Ion Exchange (India),General,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/ion-exchange-india,http://www.ionindia.com/
Sun Pharma Advanced Research,General,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/sun-pharma-advanced-research,https://sparc.life
NTPC Consultancy (India),General,India,Banipate Banartpur,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/ntpc-consultancy-india,http://www.ntpc.co.in/en/
Span Diagnostics (India),General,Gujarat,Surat,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/span-diagnostics-india,http://www.span.co.in/
Mylan (India),Pharmaceuticals,Telangana,Hyderabad,"R&D Scientist, Production Operator, Quality Assurance, Regulatory Affairs, Pharmacovigilance",https://www.linkedin.com/company/mylan-india,http://www.mylan.in
Abhikram (India),General,Gujarat,Ahmedabad,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/abhikram-india,http://www.abhikram.com/home.php
Hardik Fintrade (India),General,Gujarat,Ahmedabad,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/hardik-fintrade-india,http://hardikgroup.com/
General Electric (India),General,Karnataka,Bengaluru,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/general-electric-india,http://www.ge.com/
HHV Solar Technologies (India),General,India,Nelamangala,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/hhv-solar-technologies-india,http://www.hhvsolar.com/
PriMove Infrastructure Development Consultants (India),General,Maharashtra,Pune,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/primove-infrastructure-development-consultants-india,http://www.primoveindia.com/
Syngene International (India),General,Karnataka,Bengaluru,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/syngene-international-india,http://www.syngeneintl.com/
Jubilant Life Sciences (India),Pharmaceuticals,India,Banipate Banartpur,"R&D Scientist, Production Operator, Quality Assurance, Regulatory Affairs, Pharmacovigilance",https://www.linkedin.com/company/jubilant-life-sciences-india,http://www.jubl.com/
Anthem Biosciences (India),General,Karnataka,Bengaluru,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/anthem-biosciences-india,http://www.anthembio.com/
Alembic Pharmaceuticals (India),General,Gujarat,Vadodara,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/alembic-pharmaceuticals-india,http://www.alembic-india.com/
Caplin Point Laboratories (India),General,Tamil Nadu,Chennai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/caplin-point-laboratories-india,http://caplinpoint.net/
Aurigene Discovery Technologies (India),General,Karnataka,Bengaluru,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/aurigene-discovery-technologies-india,http://www.aurigene.com/
Evolva (India),General,Tamil Nadu,Chennai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/evolva-india,http://www.evolva.com/
FLAME TAO Knoware (India),General,Tamil Nadu,Chennai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/flame-tao-knoware-india,http://www.flametaoknoware.com/
Malladi Drugs and Pharmaceuticals Limited (India),General,Tamil Nadu,Chennai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/malladi-drugs-and-pharmaceuticals-limited-india,http://www.malladi.co.in/
Natural Remedies (India),General,Karnataka,Bengaluru,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/natural-remedies-india,http://www.naturalremedy.com/
Phoenix Medical Systems (India),General,Tamil Nadu,Chennai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/phoenix-medical-systems-india,http://www.phoenixmedicalsystems.com/
NovaLead Pharma (India),General,Maharashtra,Pune,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/novalead-pharma-india,http://www.novaleadpharma.com/#about
Sanmar Group (India),General,Tamil Nadu,Chennai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/sanmar-group-india,http://sanmargroup.com/
West Bengal Green Energy Development Corporation (India),General,West Bengal,Kolkata,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/west-bengal-green-energy-development-corporation-india,http://www.wbgedcl.in/
Usha Martin (India),General,West Bengal,Kolkata,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/usha-martin-india,http://www.ushamartin.com/en/
Magbro Healthcare (India),General,India,Solan,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/magbro-healthcare-india,http://www.magbro.in/
JK Agri Genetics (India),General,Telangana,Hyderabad,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/jk-agri-genetics-india,http://www.jkseeds.net/jk/index.php
Sipra Labs (India),General,Telangana,Hyderabad,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/sipra-labs-india,http://www.sipralabs.com/
Suven Life Sciences (India),General,Telangana,Hyderabad,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/suven-life-sciences-india,http://www.suven.com/
IT Power (India),General,India,Pondicherry,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/it-power-india,http://www.itpower.co.in/
MTEL-KTEI Teleinfra (India),General,India,Pitam Pura,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/mtel-ktei-teleinfra-india,http://www.mtelktei.com/
BioAxis DNA Research Centre (India),General,Telangana,Hyderabad,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/bioaxis-dna-research-centre-india,http://dnares.in/
Novo Nordisk (India),General,Karnataka,Bengaluru,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/novo-nordisk-india,http://www.novonordisk.co.in/
Micro Labs (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/micro-labs-india,http://www.microlabsltd.com/
Jagran Prakashan Limited,Media & Entertainment,India,Kanpur,"Content Producer, Editor, Marketing Executive, Social Media Manager",https://www.linkedin.com/company/jagran-prakashan-limited,https://jplcorp.in/new/Default.aspx
Sapna Book House,General,Karnataka,Bengaluru,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/sapna-book-house,https://www.sapnaonline.com/
VST Tillers,Manufacturing,India,N/A,"Production Supervisor, Quality Engineer, Maintenance Engineer, Process Engineer",https://www.linkedin.com/company/vst-tillers,N/A
Indo Farm Equipment Limited,Energy,India,Himachal Pradesh,"Process Engineer, Electrical Engineer, Plant Operator, Project Engineer",https://www.linkedin.com/company/indo-farm-equipment-limited,N/A
Meesho,Information Technology,India,Karnataka,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/meesho,https://meesho.com
PAREXEL International (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/parexel-international-india,https://www.parexel.com/
Medicines Company (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/medicines-company-india,http://www.themedicinescompany.com/
Icon (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/icon-india,https://www.iconplc.com/
Sonalika International Tractors Limited,Manufacturing,India,Hoshiarpur,"Production Supervisor, Quality Engineer, Maintenance Engineer, Process Engineer",https://www.linkedin.com/company/sonalika-international-tractors-limited,http://www.sonalika.com/
Alarsin (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/alarsin-india,http://alarsin.com
Ayush Arihant (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/ayush-arihant-india,http://www.ayusharihantindustries.com
Baxter (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/baxter-india,http://www.baxter.in
Claims (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/claims-india,http://www.claimscro.com
CIDP Biotech (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/cidp-biotech-india,http://www.cidp-cro.com/
Amneal (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/amneal-india,http://www.amneal.co.in/
BIOCAD (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/biocad-india,https://biocadglobal.com
Bharat Serums and Vaccines (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/bharat-serums-and-vaccines-india,https://www.bharatserums.com
Becton Dickinson (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/becton-dickinson-india,http://www.bd.com/en-in
Enovate Biolife (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/enovate-biolife-india,http://www.enovatebiolife.com
Biogen (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/biogen-india,https://www.biogen.com
Excel Life Sciences (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/excel-life-sciences-india,http://www.excellifesciences.com
Boehringer Ingelheim (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/boehringer-ingelheim-india,https://www.boehringer-ingelheim.in
Inventia (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/inventia-india,http://www.inventiahealthcare.com/
JSS Medical Research (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/jss-medical-research-india,http://maxneeman.com/
Klinera (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/klinera-india,http://www.klinera.com/
Medtronic (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/medtronic-india,http://www.medtronic.com/in-en/index.html?intcmp=mdt_com_country_selector_dropdown_atlasr22017
LG (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/lg-india,http://lglsi.com/
CliniRx (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/clinirx-india,http://clinirx.com/
Adamas Pharmaceuticals (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/adamas-pharmaceuticals-india,https://www.adamaspharma.com/
LifeForce Homoeopathy (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/lifeforce-homoeopathy-india,http://www.lifeforce.in/
Lotus Labs (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/lotus-labs-india,http://www.lotuslabs.com/
Amgen (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/amgen-india,https://www.amgen.com/
Apotex (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/apotex-india,https://www.apotex.com/in/en
Astellas Pharma (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/astellas-pharma-india,https://www.astellas.com/in/
Dhathri Ayurveda (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/dhathri-ayurveda-india,http://www.dhathri.com/
Maya Clinicals (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/maya-clinicals-india,http://mayaclinicals.com/
Mascot Spincontrol (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/mascot-spincontrol-india,http://www.mascotspincontrol.in/
MSN Laboratories (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/msn-laboratories-india,http://www.msnlabs.com/
ICBio (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/icbio-india,http://www.icbiocro.com
MS Clinical Research (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/ms-clinical-research-india,http://mscr.in/
Biotronik (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/biotronik-india,https://www.biotronik.com/
MSD (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/msd-india,http://www.msdindia.in/home/
NexusCRO (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/nexuscro-india,http://www.nexuscro.com/
Ravenbhel Healthcare (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/ravenbhel-healthcare-india,http://www.ravenbhel.com/
Arbro Pharmaceuticals (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/arbro-pharmaceuticals-india,https://arbropharma.com/
Johnson & Johnson (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/johnson-johnson-india,https://www.jnj.in/
Pharmaceutical Product Development (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/pharmaceutical-product-development-india,http://www.ppdi.com/
Sante Mernaud (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/sante-mernaud-india,http://www.santemernaud.com/
Serdia Pharmaceuticals (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/serdia-pharmaceuticals-india,http://www.serdiapharma.com/
Semler Research Center (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/semler-research-center-india,http://semlerresearch.com/
Sanofi (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/sanofi-india,http://www.sanofi.in/l/in/en/index.jsp
Precise (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/precise-india,http://www.precisegroup.co.in/
Colgate-Palmolive (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/colgate-palmolive-india,https://www.colgatepalmolive.co.in/?gclid=EAIaIQobChMI1OCvlr7D2wIVRIaPCh0piwhdEAAYASAAEgJr-vD_BwE
Evotec (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/evotec-india,https://www.evotec.com
Spectrum Clinical Research (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/spectrum-clinical-research-india,http://www.spectrumcr.com/
Covance (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/covance-india,https://www.covance.com/
Stempeutics (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/stempeutics-india,http://www.stempeutics.com/
Roche (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/roche-india,http://www.rocheindia.com/
Daiichi Sankyo (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/daiichi-sankyo-india,https://www.daiichisankyo.com/
DSM (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/dsm-india,https://www.dsm.com/corporate/home.html
Medpace (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/medpace-india,https://www.medpace.com/
Janssen (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/janssen-india,http://www.janssen.com/india/
IQVIA (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/iqvia-india,https://www.iqvia.com/locations/india
Kraft Heinz (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/kraft-heinz-india,http://www.heinz.co.in/
Fresenius Kabi (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/fresenius-kabi-india,https://www.fresenius-kabi.com/in/
Troikaa (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/troikaa-india,http://www.troikaa.com
GE Healthcare (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/ge-healthcare-india,http://www3.gehealthcare.in/en
Fresenius Medical Care (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/fresenius-medical-care-india,https://www.freseniusmedicalcare.com/en/home/
Olive Lifesciences (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/olive-lifesciences-india,https://www.olivelifesciences.com/
Virchow BioTech (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/virchow-biotech-india,http://virchowbiotech.com
Vedic Lifesciences (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/vedic-lifesciences-india,http://www.vediclifesciences.com
Philips (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/philips-india,https://www.philips.co.in/
Meiji (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/meiji-india,http://www.meijiindia.com/
TAKE Solutions (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/take-solutions-india,https://www.takesolutions.com/
PepsiCo (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/pepsico-india,http://www.pepsicoindia.co.in/
Mondelēz International (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/mondel-z-international-india,https://in.mondelezinternational.com/home
L'Oréal (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/l-or-al-india,https://www.loreal.co.in/
Navitas Life Sciences (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/navitas-life-sciences-india,https://www.navitaslifesciences.com/index.php?option=com_content&id=283&view=article
Zimmer Biomet (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/zimmer-biomet-india,http://www.zimmerindia.com/
Nestlé (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/nestl-india,https://www.nestle.in
Procter & Gamble (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/procter-gamble-india,https://www.pg.com/en_IN/
Qiagen (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/qiagen-india,https://www.qiagen.com/in/
UCB Pharma (India),General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/ucb-pharma-india,https://www.ucb.com/worldwide/india
Indo Farm Equipment Limited,Automotive,India,Himachal Pradesh,"Design Engineer, Production Engineer, Quality Engineer, Sales Engineer",https://www.linkedin.com/company/indo-farm-equipment-limited,N/A
Action Construction Equipment Limited,Energy,India,N/A,"Process Engineer, Electrical Engineer, Plant Operator, Project Engineer",https://www.linkedin.com/company/action-construction-equipment-limited,http://www.ace-cranes.com
Action Construction Equipment Limited,Automotive,India,N/A,"Design Engineer, Production Engineer, Quality Engineer, Sales Engineer",https://www.linkedin.com/company/action-construction-equipment-limited,http://www.ace-cranes.com
Malabar Cements Limited,Education,India,N/A,"Teacher, Academic Coordinator, Education Counselor",https://www.linkedin.com/company/malabar-cements-limited,http://www.malabarcements.com
Meesho,General,Karnataka,Bengaluru,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/meesho,https://meesho.com
Scripbox,Banking & Finance,Karnataka,Bengaluru,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/scripbox,http://scripbox.com/
Indo Farm Equipment Limited,Manufacturing,India,Himachal Pradesh,"Production Supervisor, Quality Engineer, Maintenance Engineer, Process Engineer",https://www.linkedin.com/company/indo-farm-equipment-limited,N/A
Sonalika International Tractors Limited,Automotive,India,Hoshiarpur,"Design Engineer, Production Engineer, Quality Engineer, Sales Engineer",https://www.linkedin.com/company/sonalika-international-tractors-limited,http://www.sonalika.com/
Action Construction Equipment Limited,Manufacturing,India,N/A,"Production Supervisor, Quality Engineer, Maintenance Engineer, Process Engineer",https://www.linkedin.com/company/action-construction-equipment-limited,http://www.ace-cranes.com
Meesho,General,India,Karnataka,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/meesho,https://meesho.com
Meesho,Information Technology,Karnataka,Bengaluru,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/meesho,https://meesho.com
Big Bang Entertainments,General,Kerala,Kochi,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/big-bang-entertainments,N/A
VST Tillers,Energy,India,N/A,"Process Engineer, Electrical Engineer, Plant Operator, Project Engineer",https://www.linkedin.com/company/vst-tillers,N/A
VST Tillers,Automotive,India,N/A,"Design Engineer, Production Engineer, Quality Engineer, Sales Engineer",https://www.linkedin.com/company/vst-tillers,N/A
Ekart,General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/ekart,https://www.ekartlogistics.com
Syngene International (India),General,Karnataka,Bengaluru,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/syngene-international-india,http://www.syngeneintl.com/
Mysore cafe,General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/mysore-cafe,N/A
Nirapara,General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/nirapara,http://www.nirapara.com
Frames Productions,Media & Entertainment,India,N/A,"Content Producer, Editor, Marketing Executive, Social Media Manager",https://www.linkedin.com/company/frames-productions,N/A
K9 Productions,Media & Entertainment,India,N/A,"Content Producer, Editor, Marketing Executive, Social Media Manager",https://www.linkedin.com/company/k9-productions,N/A
HealthifyMe,General,Karnataka,Bengaluru,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/healthifyme,https://www.healthifyme.com
Linc Pen & Plastics Limited,General,West Bengal,Kolkata,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/linc-pen-plastics-limited,http://www.lincpen.com/
Ameyo,General,Haryana,Gurgaon,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/ameyo,https://www.ameyo.com/
Athena Infonomics (India),General,Tamil Nadu,Chennai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/athena-infonomics-india,https://www.athenainfonomics.in/
Logistimo (India),General,Karnataka,Bengaluru,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/logistimo-india,http://www.logistimo.com/
MicNode,General,India,Kozhikode,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/micnode,N/A
Seagull BioSolutions (India),General,Maharashtra,Pune,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/seagull-biosolutions-india,http://www.seagullbiosolutions.in/
Orient Electric,Electronics,India,New Delhi,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/orient-electric,http://www.orientelectric.com
SUPERGAS,Energy,Telangana,Hyderabad,"Process Engineer, Electrical Engineer, Plant Operator, Project Engineer",https://www.linkedin.com/company/supergas,https://www.supergas.com/
Cook Medical (India),General,Tamil Nadu,Chennai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/cook-medical-india,http://www.cookmedical.co.in/
Richcore Lifesciences (India),General,Karnataka,Bengaluru,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/richcore-lifesciences-india,http://www.richcoreindia.com/
Texas Instruments (India),General,Karnataka,Bengaluru,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/texas-instruments-india,http://www.ti.com/lsds/in/homepage.page
Bristol-Myers Squibb (India),General,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/bristol-myers-squibb-india,http://www.bmsi.co.in/default.aspx
HealthCare Global Enterprises Ltd,General,Karnataka,Bengaluru,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/healthcare-global-enterprises-ltd,N/A
Housejoy,Information Technology,Karnataka,Bengaluru,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/housejoy,https://www.housejoy.in/
Urban Living Designs,General,Karnataka,Bengaluru,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/urban-living-designs,https://www.urbanlivingdesigns.in/
VRR Diagnostic Services (India),General,Tamil Nadu,Chennai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/vrr-diagnostic-services-india,http://www.vrrdiagnostics.in/
Skigle Technologies LLP,General,Gujarat,Ahmedabad,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/skigle-technologies-llp,http://www.skigle.com
Dailyhunt,General,Karnataka,Bengaluru,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/dailyhunt,https://m.dailyhunt.in/
Dailyhunt,General,Karnataka,Bengaluru,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/dailyhunt,https://www.dailyhunt.com/
XSTOK,Information Technology,Maharashtra,Mumbai,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/xstok,http://www.xstok.com
Gujarat Fluorochemicals Limited,General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/gujarat-fluorochemicals-limited,http://www.gfl.co.in
Football Synergy,General,Maharashtra,Pune,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/football-synergy,http://www.footballsynergy.com
BioGenex (India),General,Telangana,Hyderabad,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/biogenex-india,http://biogenex.com/
Danish Hydraulic Institute (India),General,India,New Delhi,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/danish-hydraulic-institute-india,http://www.dhigroup.com/
Dendritic Cell Research (India),General,India,Banipate Banartpur,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/dendritic-cell-research-india,N/A
Gateway Group of Companies,Information Technology,Gujarat,Ahmedabad,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/gateway-group-of-companies,https://www.thegatewaycorp.com
Tejas Networks (India),General,Karnataka,Bengaluru,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/tejas-networks-india,http://www.tejasnetworks.com
Eli Lilly (India),General,Haryana,Gurgaon,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/eli-lilly-india,https://www.lillyindia.co.in/
Miraj Cinemas,Media & Entertainment,Maharashtra,Mumbai,"Content Producer, Editor, Marketing Executive, Social Media Manager",https://www.linkedin.com/company/miraj-cinemas,N/A
MedPlus,General,Telangana,Hyderabad,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/medplus,http://www.medplusindia.com
Pooja Entertainment,Media & Entertainment,Maharashtra,Mumbai,"Content Producer, Editor, Marketing Executive, Social Media Manager",https://www.linkedin.com/company/pooja-entertainment,http://poojaentertainmentandfilms.in/
Bajaj Finance,Banking & Finance,Maharashtra,Pune,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/bajaj-finance,http://www.bajajfinserv.in
